BCI-AV#	Blissymbol	English	Char	Char	5350	1497	212	34	4	1
8483		exclamation_mark	Y							
8484		percent,percentage,%	Y							
8485		question_mark	Y							
8486		period,point,full_stop,decimal_point	Y							
8487		comma	Y							
8488		colon	Y							
8489		apostrophe	Y							
8490		degree	Y							
8496		zero_(digit),0	Y	8496						
8497		one_(digit),1,modifier_(first_person)	Y	8497						
8498		two_(digit),2,modifier_(second_person)	Y	8498						
8499		three_(digit),3,modifier_(third_person)	Y	8499						
8500		four_(digit),4	Y	8500						
8501		five_(digit),5	Y	8501						
8502		six_(digit),6	Y	8502						
8503		seven_(digit),7	Y	8503						
8504		eight_(digit),8	Y	8504						
8505		nine_(digit),9	Y	8505						
8510		zero_(index_number)	Y	8496						
8511		one_(index_number)	Y	8497						
8512		two_(index_number)	Y	8498						
8513		three_(index_number)	Y	8499						
8514		four_(index_number)	Y	8500						
8515		five_(index_number)	Y	8501						
8516		six_(index_number)	Y	8502						
8517		seven_(index_number)	Y	8503						
8518		eight_(index_number)	Y	8504						
8519		nine_(index_number)	Y	8505						
8521		a_(lowercase)	Y							
8522		b_(lowercase)	Y							
8523		c_(lowercase)	Y							
8524		d_(lowercase)	Y							
8525		e_(lowercase)	Y							
8526		f_(lowercase)	Y							
8527		g_(lowercase)	Y							
8528		h_(lowercase)	Y							
8529		i_(lowercase)	Y							
8530		j_(lowercase)	Y							
8531		k_(lowercase)	Y							
8532		l_(lowercase)	Y							
8533		m_(lowercase)	Y							
8534		n_(lowercase)	Y							
8535		o_(lowercase)	Y							
8536		p_(lowercase)	Y							
8537		q_(lowercase)	Y							
8538		r_(lowercase)	Y							
8539		s_(lowercase)	Y							
8540		t_(lowercase)	Y							
8541		u_(lowercase)	Y							
8542		v_(lowercase)	Y							
8543		w_(lowercase)	Y							
8544		x_(lowercase)	Y							
8545		y_(lowercase)	Y							
8546		z_(lowercase)	Y							
8551		A_(uppercase)	Y							
8552		B_(uppercase)	Y							
8553		C_(uppercase)	Y							
8554		D_(uppercase)	Y							
8555		E_(uppercase)	Y							
8556		F_(uppercase)	Y							
8557		G_(uppercase)	Y							
8558		H_(uppercase)	Y							
8559		I_(uppercase)	Y							
8560		J_(uppercase)	Y							
8561		K_(uppercase)	Y							
